0.000	0	0	0	0	0.5	0.5
0.203	9.500	7.500	7.900	7.900	0.5	0.5
0.299	13.660	11.810	11.073	11.073	0.5	0.5
0.502	23.400	21.780	16.410	16.410	0.5	0.5
0.645	31.100	29.200	20.710	20.710	0.5	0.5
0.700	37.730	35.600	25.910	25.910	0.5	0.5
0.751	43.250	40.950	33.130	33.130	1.0	1.0
1.005	68.500	65.300	74.000	74.000	1.0	1.0
1.122	81.500	76.400	91.840	91.840	1.0	1.0
1.252	94.388	92.666	108.822	108.822	1.0	1.0
1.501	125.436	122.434	137.685	137.685	1.0	1.0
1.751	157.212	152.931	165.815	165.815	1.0	1.0
2.001	189.067	183.669	193.458	193.458	1.0	1.0
2.252	221.190	214.709	220.977	220.977	1.0	1.0
2.504	253.437	245.888	248.329	248.329	1.0	1.0
2.602	266.127	258.149	259.035	259.035	1.0	1.0
2.711	285.438	268.379	269.073	269.073	1.0	1.0
3.000	323.100	304.000	300.077	300.077	1.000	1.000
