0.000	0.000	0.000	0.000	0.000	0.5
0.200	8.177	8.177	7.644	7.644	0.5
0.299	12.491	12.491	10.948	10.948	0.5
0.501	22.056	22.056	16.341	16.341	0.5
0.648	29.557	29.557	20.705	20.705	0.5
0.701	36.283	36.283	26.270	26.270	0.5
0.750	41.506	41.506	33.551	33.551	1.0
1.002	65.979	65.979	74.240	74.240	1.0
1.120	78.280	78.280	91.839	91.839	1.0
1.252	93.527	93.527	108.822	108.822	1.0
1.501	123.935	123.935	137.685	137.685	1.0
1.751	155.072	155.072	165.815	165.815	1.0
2.001	186.368	186.368	193.458	193.458	1.0
2.252	217.950	217.950	220.977	220.977	1.0
2.504	249.663	249.663	248.329	248.329	1.0
2.602	262.138	262.138	259.035	259.035	1.0
2.711	276.909	276.909	269.073	269.073	1.0
