0.000	0	0	0	0	0.5	0.5
0.203	9.500	7.500	7.900	7.900	0.5	0.5
0.299	13.660	11.810	11.073	11.073	0.5	0.5
0.502	23.400	21.780	16.410	16.410	0.5	0.5
0.645	31.100	29.200	20.710	20.710	0.5	0.5
0.700	37.730	35.600	25.910	25.910	0.5	0.5
0.750	43.200	41.100	33.150	33.150	1.0	1.0
1.004	68.400	65.300	73.900	73.900	1.0	1.0
1.110	80.000	76.000	89.500	89.500	1.0	1.0
1.248	97.100	91.400	107.000	107.000	1.0	1.0
1.495	128.000	122.000	135.350	135.350	1.0	1.0
1.751	157.212	152.931	165.815	165.815	1.0	1.0
2.001	189.067	183.669	193.458	193.458	1.0	1.0
2.252	221.190	214.709	220.977	220.977	1.0	1.0
2.504	253.437	245.888	248.329	248.329	1.0	1.0
2.602	266.127	258.149	259.035	259.035	1.0	1.0
2.711	285.438	268.379	269.073	269.073	1.0	1.0
3.000	323.100	304.000	300.077	300.077	1.000	1.000
